Name,Address,Phone,Email,Website,Category,Google Rating,Google Reviews,Status
Soapy Noble,"965 Farmington Ave, New Britain, CT 06053",8602242933,,https://www.soapynoble.com/,Car wash,4.4,72,New
Soapy Noble,"230 Flanders Rd, Niantic, CT 06357",8608505075,contact@soapynoble.com,https://soapynoble.com/,Car wash,4.5,81,New
Scrubby's Car Wash,"1013 Torringford St, Torrington, CT 06790",8606183029,scrubbysautowash@gmail.com,https://www.scrubbyscarwashct.com/,Car wash,4.1,128,New
Nicks Mobile Detailing,"64 Laurel Ridge Dr, Oakville, CT 06779",2035251401,detailingbyniko@gmail.com,https://www.nicksmobiledetailing.org/,Car wash,4.6,11,New
GoodLooks Auto Spa,"795 Straits Turnpike, Watertown, CT 06795",8606313229,goodlooks.autospa@gmail.com,https://goodlooksautospa.com/,Car detailing service,5,213,New
Benny's Car Detailing,"78 Simpkins Dr, Bristol, CT 06010",8603291416,,https://bennysdetailingct.com/,Car detailing service,5,7,New
Cumberland Farms AutoSpa Car Wash,"376 Danbury Rd, New Milford, CT 06776",8609150001,,https://autospa-carwash.com/,Car wash,4,5,New
Water Works Car Wash,"108 Main Street, Plymouth, Terryville, CT 06786",,,,Car wash,1.8,24,New
QuiXpress Car Wash,"1 Simm Ln, Newtown, CT 06470",2033649777,info@gopower.com,http://www.quixpresscarwash.com/,Car wash,3.5,79,New
Platinum Car Wash & Oil,"1420 E Main St, Torrington, CT 06790",2035279700,hello@platinumexpresswash.com,http://www.platinumcarwashandoil.com/,Car wash,4.5,777,New
Optimo Car Wash,"1107 Hanover Ave, Meriden, CT 06451",4753004280,victor.perez1987@icloud.com,http://www.optimocarwashes.com/,Car wash,4.1,39,New
Optimo car wash,"39 S Turnpike Rd, Wallingford, CT 06492",2036402630,victor.perez1987@icloud.com,http://www.optimocarwashes.com/,Car wash,4.2,289,New
Optimo Car Wash,"191 Shunpike Rd, Cromwell, CT 06416",8607708703,optimoct@gmail.com,http://optimocarwashes.com,Car wash,4.3,26,New
Optimo Car Wash,"118 Whiting St, Plainville, CT 06062",8607470813,victor.perez1987@icloud.com,http://optimocarwashes.com,Car wash,3.9,110,New
Flash Car Wash,"1025 Broad St, Meriden, CT 06450",2034404545,info@flashcarwash.biz,https://flashcarwashes.com/meriden/,Car wash,,,New
Personal Touch Car Wash,"475 Bantam Rd, Litchfield, CT 06759",8603616098,info@flashcarwash.biz,https://flashcarwashes.com/litchfield/,Car wash,3.6,118,New
Flash Car Wash,"95 Berlin Rd, Cromwell, CT 06416",8608073179,info@flashcarwash.biz,https://flashcarwashes.com/cromwell/,Car wash,4.5,403,New
Flash Car Wash,"1255 Farmington Ave, Bristol, CT 06010",8609734014,info@flashcarwash.biz,http://flashcarwashes.com/,Car wash,4.6,96,New
Flash Car Wash,"16 Fenn Rd, Newington, CT 06111",8604365325,info@flashcarwash.biz,http://flashcarwashes.com,Car wash,4.7,329,New
Flash Car Wash,"155 Pine St, Bristol, CT 06010",8609738522,info@flashcarwash.biz,http://flashcarwashes.com,Car wash,4.6,452,New
Flash Car Wash,"654 N Colony Rd, Wallingford, CT 06492",4752536030,info@flashcarwash.biz,http://flashcarwashes.com,Car wash,4.6,311,New
Flash Car Wash,"56 Talcottville Rd, Vernon, CT 06066",8608585051,info@flashcarwash.biz,http://flashcarwashes.com,Car wash,4.5,491,New
Splash Car Wash,"23 Shunpike Rd, Cromwell, CT 06416",8606321234,jford@splashcarwashes.com,https://splashcarwashes.com/locations/cromwell/,Car wash,,,New
Mobil 1 Lube Express,"1161 Wolcott St, Waterbury, CT 06705",2035279700,hello@platinumexpresswash.com,https://www.platinumcarwashandoil.com/,Auto repair shop,3.7,10,New
CarMax,"450 Captain Neville Dr, Waterbury, CT 06705",2035911224,heather_j_choe@carmax.com,https://www.carmax.com/stores/6070,Used car dealer,4.3,913,New
Costco Wholesale,"3600 E Main St, Waterbury, CT 06705",2035969967,lyaple@costco.com,https://www.costco.com/warehouse-locations/waterbury-CT-313.html,Warehouse store,4.6,3548,New
Jiffy Lube,"50 Thomaston Ave, Waterbury, CT 06702",2035730119,privacy-office-si@shell.com,https://www.jiffylube.com/locations/ct/waterbury/350,Oil change service,4.3,271,
D-Tailz Automotive Detailing LLC,"58b Maple Ave, Thomaston, CT 06787",,dtailzautodetailing.com@wix-domains.com,https://www.dtailzautodetailing.com/,Car detailing service,5,34,
Splash Car Wash Express,"1553 Boston Post Rd, Milford, CT 06460",2033245400,jford@splashcarwashes.com,https://splashcarwashes.com/locations/milford/,Car wash,4.8,1715,
Splash Car Wash,"251 Post Rd, Darien, CT 06820",2036558778,info@splashcarwashes.com,https://splashcarwashes.com/locations/darien/,Car wash,4.2,566,
Splash Car Wash,"1123 Highland Ave, Cheshire, CT 06410",2032509274,jboyland@splashcarwashes.com,https://splashcarwashes.com/locations/cheshire/,Car wash,4.7,739,
Splash Car Wash,"376 Bridgeport Ave, Shelton, CT 06484",2039449798,jford@splashcarwashes.com,http://splashcarwashes.com,Car wash,4.4,1806,
Never Ride Dirty LLC,"30 Echo Lake Rd, Watertown, CT 06795",2035602377,,https://neverridedirtyct.com/,Car detailing service,5,38,
Flash Car Wash,"1417 E Main St, Waterbury, CT 06705",2035274031,info@flashcarwash.biz,https://flashcarwashes.com/waterbury-east-main/,Car wash,4.1,648,
Flash Car Wash,"1080 Huntingdon Ave, Waterbury, CT 06704",4752332638,info@flashcarwash.biz,http://flashcarwashes.com,Car wash,4.6,660,
Shell,"618 W Main St, Waterbury, CT 06702",2037550199,ipladmin@shell.com,https://find.shell.com/us/fuel/10000283-618-west-main-street/en_US,Gas station,3.7,26,
Limitless Detailing CT,"681 Wolcott Rd, Wolcott, CT 06716",2038922214,,https://app.squareup.com/appointments/book/05s1zjx2kvcvs8/,Car detailing service,5,30,
Trans-Clean Truck Wash Inc,"365 Old Gate Ln, Milford, CT 06460",2038749479,j_orourke@transcleantruckwash.com,http://www.transcleantruckwash.com/,Truck stop,4.5,615,
CT Auto Spa,"39 Albany Turnpike, West Simsbury, CT 06092",8604132003,info@ctautospa.com,http://ctautospa.com,Car wash,4.3,199,
Branford Car Wash & Express,"938 W Main St, Branford, CT 06405",2034812770,info@branfordcarwashandexpresslube.com,http://www.branfordcarwashandexpresslube.com/,Car wash,3.8,412,
Optimo Car Wash,"3191 Berlin Tpke, Newington, CT 06111",2036004645,victor.perez1987@icloud.com,http://www.optimocarwashes.com/,Car wash,4.4,104,
Absolute Shine Auto Boat & Motorcycle Detailing,"625 N Main St, Bristol, CT 06010",8605820800,,http://www.absoluteshinebristol.com/,Car detailing service,4.7,39,
Wow Car Wash,"47 Dean Pl, Bridgeport, CT 06610",2033681500,wowcarwashct@gmail.com,http://wowcarwashct.com,Car wash,4,260,
Wired Wash Car Wash & Detailing,"484 Tunxis Hill Rd, Fairfield, CT 06825",2033339566,appointments@wiredwash.com,http://wiredwash.com,Car wash,4.4,397,
Platinum Car Wash & Oil,"97 Waterbury Rd, Prospect, CT 06712",2035279700,hello@platinumexpresswash.com,http://platinumcarwashandoil.com,Car wash,4.4,503,
Platinum Car Wash & Oil,"1161 Wolcott St, Waterbury, CT 06705",2035279700,hello@platinumexpresswash.com,http://platinumcarwashandoil.com,Car wash,4.6,920,
